==================================================
RESOLUTION STATISTICS
==================================================

REAL Category:
------------------------------
Total videos: 7000
  1024x1024: 13 (1.4%)
  1408x768: 12 (1.3%)
  576x320: 9 (1.0%)
  256x448: 8 (0.9%)
  640x640: 7 (0.8%)
  320x512: 6 (0.6%)
  2160x544: 4 (0.4%)
  434x482: 4 (0.4%)
  1292x646: 4 (0.4%)
  320x640: 4 (0.4%)
  800x800: 4 (0.4%)
  320x576: 4 (0.4%)
  408x512: 3 (0.3%)
  336x512: 3 (0.3%)
  2304x1024: 3 (0.3%)
  1920x550: 3 (0.3%)
  384x128: 3 (0.3%)
  480x480: 3 (0.3%)
  1920x600: 3 (0.3%)
  1900x400: 2 (0.2%)
  1280x374: 2 (0.2%)
  2160x524: 2 (0.2%)
  1920x414: 2 (0.2%)
  256x416: 2 (0.2%)
  2058x516: 2 (0.2%)
  896x512: 2 (0.2%)
  704x128: 2 (0.2%)
  256x348: 2 (0.2%)
  600x600: 2 (0.2%)
  2286x1120: 2 (0.2%)
  1920x1080: 2 (0.2%)
  1920x572: 2 (0.2%)
  884x720: 2 (0.2%)
  960x504: 1 (0.1%)
  1440x720: 1 (0.1%)
  1808x490: 1 (0.1%)
  1529x1071: 1 (0.1%)
  1280x372: 1 (0.1%)
  2160x704: 1 (0.1%)
  1496x516: 1 (0.1%)
  829x437: 1 (0.1%)
  1280x360: 1 (0.1%)
  1052x720: 1 (0.1%)
  2300x1024: 1 (0.1%)
  256x520: 1 (0.1%)
  256x460: 1 (0.1%)
  1280x376: 1 (0.1%)
  40x24: 1 (0.1%)
  960x324: 1 (0.1%)
  352x512: 1 (0.1%)
  512x600: 1 (0.1%)
  514x324: 1 (0.1%)
  2232x992: 1 (0.1%)
  829x460: 1 (0.1%)
  1892x1053: 1 (0.1%)
  1440x576: 1 (0.1%)
  1137x646: 1 (0.1%)
  1280x600: 1 (0.1%)
  384x512: 1 (0.1%)
  816x800: 1 (0.1%)
  1556x1073: 1 (0.1%)
  2160x680: 1 (0.1%)

Youku:
--------------------
  640x360: 585 (58.5%)
  360x640: 176 (17.6%)
  640x362: 34 (3.4%)
  362x640: 28 (2.8%)
  640x640: 15 (1.5%)
  640x358: 13 (1.3%)
  640x480: 11 (1.1%)
  640x368: 9 (0.9%)
  640x356: 7 (0.7%)
  368x640: 6 (0.6%)
  640x352: 6 (0.6%)
  1920x1080: 5 (0.5%)
  640x426: 4 (0.4%)
  640x296: 4 (0.4%)
  480x640: 4 (0.4%)
  640x298: 4 (0.4%)
  540x302: 3 (0.3%)
  640x346: 3 (0.3%)
  296x640: 3 (0.3%)
  640x304: 3 (0.3%)
  640x320: 3 (0.3%)
  640x484: 2 (0.2%)
  1080x1920: 2 (0.2%)
  320x640: 2 (0.2%)
  320x568: 2 (0.2%)
  480x360: 2 (0.2%)
  640x344: 2 (0.2%)
  640x442: 2 (0.2%)
  640x302: 2 (0.2%)
  374x640: 2 (0.2%)
  640x272: 2 (0.2%)
  384x640: 1 (0.1%)
  354x640: 1 (0.1%)
  480x320: 1 (0.1%)
  640x584: 1 (0.1%)
  640x586: 1 (0.1%)
  640x430: 1 (0.1%)
  640x400: 1 (0.1%)
  352x640: 1 (0.1%)
  320x404: 1 (0.1%)
  380x640: 1 (0.1%)
  640x342: 1 (0.1%)
  450x640: 1 (0.1%)
  640x568: 1 (0.1%)
  298x640: 1 (0.1%)
  288x640: 1 (0.1%)
  600x450: 1 (0.1%)
  640x388: 1 (0.1%)
  636x640: 1 (0.1%)
  640x372: 1 (0.1%)
  640x370: 1 (0.1%)
  544x544: 1 (0.1%)
  504x480: 1 (0.1%)
  640x492: 1 (0.1%)
  640x394: 1 (0.1%)
  1648x740: 1 (0.1%)
  640x350: 1 (0.1%)
  480x332: 1 (0.1%)
  540x540: 1 (0.1%)
  304x640: 1 (0.1%)
  640x308: 1 (0.1%)
  640x288: 1 (0.1%)
  640x364: 1 (0.1%)
  640x1140: 1 (0.1%)
  640x392: 1 (0.1%)
  640x268: 1 (0.1%)
  640x354: 1 (0.1%)
  504x504: 1 (0.1%)
  640x626: 1 (0.1%)
  320x240: 1 (0.1%)
  640x330: 1 (0.1%)
  640x262: 1 (0.1%)
  466x640: 1 (0.1%)
  640x300: 1 (0.1%)
  640x376: 1 (0.1%)
  640x280: 1 (0.1%)
  640x374: 1 (0.1%)
  640x326: 1 (0.1%)
  640x478: 1 (0.1%)
  960x540: 1 (0.1%)
  486x486: 1 (0.1%)
  640x422: 1 (0.1%)
  640x434: 1 (0.1%)
  640x528: 1 (0.1%)
  1280x720: 1 (0.1%)

